title,genres,director,cast,overview,keywords
Shutter Island,Mystery Thriller,Martin Scorsese,Leonardo DiCaprio Mark Ruffalo Ben Kingsley,A U.S. Marshal investigates the disappearance of a murderer from a hospital for the criminally insane.,psychological asylum twist detective
The Departed,Crime Drama Thriller,Martin Scorsese,Leonardo DiCaprio Matt Damon Jack Nicholson,An undercover cop and a police informant play a cat-and-mouse game within the Boston mob.,undercover mob betrayal police
La La Land,Romance Musical Drama,Damien Chazelle,Ryan Gosling Emma Stone,A jazz pianist and an aspiring actress fall in love while pursuing their dreams in Los Angeles.,musical romance jazz dreams
Whiplash,Drama Music,Damien Chazelle,Miles Teller J.K. Simmons,A young drummer is pushed to his limits by a ruthless music instructor.,music ambition mentor obsession
Parasite,Thriller Drama Comedy,Bong Joon-ho,Song Kang-ho Lee Sun-kyun,A poor family schemes to become employed by a wealthy family by infiltrating their household.,class-divide satire twist family
Get Out,Horror Thriller Mystery,Jordan Peele,Daniel Kaluuya Allison Williams,A young African-American man uncovers a disturbing secret when he meets his white girlfriend's family.,horror race satire mystery
Us,Horror Thriller,Jordan Peele,Lupita Nyong'o Winston Duke,A family is confronted by a group of doppelgangers.,horror doppelganger family social-commentary
Coco,Animation Family Fantasy,Lee Unkrich,Anthony Gonzalez Gael Garcia Bernal,A boy is transported to the land of the dead where he seeks the help of his musician ancestor.,family music afterlife tradition
Up,Animation Adventure Comedy,Pete Docter,Edward Asner Jordan Nagai,An elderly widower ties thousands of balloons to his house and sets off on an adventure.,adventure friendship loss balloons
Inside Out,Animation Family Comedy,Pete Docter,Amy Poehler Bill Hader,The emotions inside an 11-year-old girl's mind help guide her through a difficult transition.,emotions childhood family growth
Toy Story,Animation Adventure Comedy,John Lasseter,Tom Hanks Tim Allen,A cowboy doll feels threatened when a new spaceman action figure supplants him as top toy.,toys friendship childhood adventure
Finding Nemo,Animation Adventure Family,Andrew Stanton,Albert Brooks Ellen DeGeneres,A clownfish searches the ocean for his abducted son.,ocean fatherhood adventure family
WALL-E,Animation Sci-Fi Family,Andrew Stanton,Ben Burtt Elissa Knight,A robot on a waste-covered Earth is sent a signal that could change his fate.,robot environment love dystopia
Spirited Away,Animation Fantasy Adventure,Hayao Miyazaki,Rumi Hiiragi Miyu Irino,A young girl wanders into a world ruled by gods and witches where humans are changed into beasts.,fantasy spirits coming-of-age magic
The Lion King,Animation Adventure Drama,Roger Allers,Matthew Broderick James Earl Jones,A lion cub flees his kingdom after his father's murder only to learn the true meaning of responsibility.,royalty family betrayal africa
Gladiator,Action Adventure Drama,Ridley Scott,Russell Crowe Joaquin Phoenix,A betrayed Roman general seeks revenge against the corrupt emperor who murdered his family.,rome revenge arena betrayal
Blade Runner 2049,Sci-Fi Drama Mystery,Denis Villeneuve,Ryan Gosling Harrison Ford,A young blade runner unearths a secret that could plunge society into chaos.,dystopia replicants identity noir
Dune,Sci-Fi Adventure Drama,Denis Villeneuve,Timothee Chalamet Rebecca Ferguson,A noble family becomes embroiled in a war for control over a desert planet.,desert-planet politics prophecy empire
Arrival,Sci-Fi Drama Mystery,Denis Villeneuve,Amy Adams Jeremy Renner,A linguist is recruited to communicate with alien visitors.,aliens language time communication
Sicario,Crime Thriller Drama,Denis Villeneuve,Emily Blunt Benicio del Toro,An FBI agent is enlisted to aid in the war against drugs at the border.,cartel border corruption tension
The Social Network,Drama Biography,David Fincher,Jesse Eisenberg Andrew Garfield,The founding of Facebook and the resulting lawsuits.,startup betrayal biography technology
Fight Club,Drama Thriller,David Fincher,Brad Pitt Edward Norton,An insomniac office worker forms an underground fight club that evolves into something much more.,identity anarchy consumerism twist
Gone Girl,Mystery Thriller Drama,David Fincher,Ben Affleck Rosamund Pike,A man becomes suspect number one in his wife's disappearance.,marriage mystery media manipulation
Se7en,Crime Mystery Thriller,David Fincher,Brad Pitt Morgan Freeman,Two detectives hunt a serial killer who uses the seven deadly sins as his motives.,serial-killer detective dark twist
